"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr449","Bird Conservation Targeting Project (BCTP) in the UK, 2006-2011","doi:10.15468/mep71d","""The following acknowledgements of copyright and database right ownership, must be included in a conspicuous position in all copies of data and outputs: """"Reproduced by permission of the Bird Conservation Targeting Project. © Bird Conservation Targeting Project, 2010 (a partnership between the British Trust for Ornithology (BTO), the Centre for Environmental Data and Recording (CEDaR), the Countryside Council for Wales (CCW), the Department of Agriculture and Rural Development (DARD), Forestry Commission England (FCE), Forestry Commission Wales (FCW), Forest Service (FS), Natural England (NE), Northern Ireland Environment Agency, the RSPB and Scottish Natural Heritage (SNH)). All rights reserved."""" 

The organisations contributing data to the project must also be acknowledged as follows: """"The Bird Conservation Targeting Project partners are grateful to the contributions of the data providers listed at www.rspb.org.uk/targeting"""", and to the many vounteers who collected these data.""","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dr449","","","","161"
"dr867","Suffolk Biodiversity Information Service (SBIS) Dataset","doi:10.15468/ab4vwo","Records provided by Suffolk Biodiversity Information Service (SBIS) Dataset, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information:  email martin.sanford@suffolk.gov.uk, or https://registry.nbnatlas.org/public/show/dr867","","","","1"
"dp0","Royal Society for the Protection of Birds","","Records provided by Royal Society for the Protection of Birds, accessed through NBN Atlas website.","","For more information:  email Dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dp0","","","","661"
"dr2370","Birds (BTO/JNCC/RSPB partnership)","","Records provided by BTO, accessed through NBN Atlas website","Open Government Licence (OGL)","For more information:  https://registry.nbnatlas.org/public/show/dr2370","","","","132"
"dr1269","Highland bird data 2002 - 2003 - non-breeding records","doi:10.15468/ovr9nu","Records provided by Highland bird data 2002 - 2003 - non-breeding records, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email clive.mckay@the-soc.org.uk, or https://registry.nbnatlas.org/public/show/dr1269","","","","8"
"dr1267","Highland Breeding Bird Data 2002-2003 - non-sensitive breeding species","doi:10.15468/559t1y","Records provided by Highland Breeding Bird Data 2002-2003 - non-sensitive breeding species, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email clive.mckay@the-soc.org.uk, or https://registry.nbnatlas.org/public/show/dr1267","","","","28"
"dr478","RSPB Reserves breeding bird surveys","doi:10.15468/ssn1l9","Data reproduced with the permission of RSPB","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dr478","","","","1"
"dr2417","British bird study skins in the collections of World Museum, National Museums Liverpool","10.15468/tekr68","World Museum, National Museums Liverpool (2020). British bird study skins in the collections of World Museum, National Museums Liverpool.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2417","","","","8"
"dp29","British Trust for Ornithology","","Records provided by British Trust for Ornithology, accessed through NBN Atlas website.","","For more information:  email info@bto.org, or https://registry.nbnatlas.org/public/show/dp29","","","","1297"
"dr437","Scottish Crossbill National Survey in the UK in 2008","doi:10.15468/rvh2gx","Please acknowledge the Royal Society for the Protection of Birds (RSPB), Scottish Natural Heritage (SNH) and SCARABBS in any use of the data.","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  email dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dr437","","","","205"
